date,open,high,low,close,volume,Name,year,month,daily_return
2014-08-14,23.7433,23.9466,23.6333,23.8833,5934912,MNST,2014,8,0.7028832126021456
2015-03-13,103.11,103.92,102.74,103.26,4855400,CVS,2015,3,0.2913752913753065
2014-11-21,53.92,54.15,53.68,53.8,617353,TMK,2014,11,0.6171685057041243
2015-12-22,89.57,89.98,88.83,89.03,751884,EXR,2015,12,-0.0673476259961836
2016-08-03,52.84,53.53,52.7,53.51,1836189,NUE,2016,8,0.9622641509433816
2016-06-09,153.89,157.46,153.89,156.78,2680412,AAP,2016,6,2.1235018238665804
2015-08-04,85.2,85.62,84.69,84.83,715033,COL,2015,8,-0.43427230046948484
2017-10-25,98.05,98.22,97.45,97.78,4094746,DIS,2017,10,-0.518872723573105
2016-10-06,103.25,103.77,103.2,103.5,3371163,MON,2016,10,0.31013762357046115
2015-11-05,564.94,574.25,561.0,564.16,1035460,REGN,2015,11,0.028368794326238955
2017-08-31,77.78,78.21,77.41,77.63,1160131,EXR,2017,8,0.051553035184936924
2015-11-04,82.46,83.1766,82.2503,82.71,676942,DTE,2015,11,0.30317729808391203
2014-08-07,117.16,117.65,116.77,117.37,328134,SRCL,2014,8,0.608606206068929
2014-04-25,38.66,38.79,38.41,38.44,2552152,STI,2014,4,-0.9533625354290254
2013-02-27,30.93,31.335,30.77,31.3,1951497,RSG,2013,2,1.2944983818770295
2015-12-11,90.0,90.62,88.69,89.04,1557818,VRSN,2015,12,-2.0138659623638144
2015-09-04,58.08,58.48,56.9,57.3,9289194,BMY,2015,9,-2.468085106382989
2014-11-13,22.77,22.87,22.62,22.73,4567566,HST,2014,11,0.22045855379189128
2013-10-17,81.69,84.3,81.582,84.17,1779062,SBAC,2013,10,3.263403263403264
2017-04-12,150.46,150.46,146.56,146.92,1536128,CMI,2017,4,-2.365762892078682
2017-04-26,47.4,47.48,46.7,46.76,817082,BF.B,2017,4,-1.183431952662728
2016-09-19,21.67,22.22,21.5289,21.9,17056262,KMI,2016,9,2.0027945971122563
2017-01-24,40.66,41.34,40.46,41.16,1752333,BEN,2017,1,1.8811881188118829
2016-06-10,245.15,245.85,240.43,240.93,3570519,AGN,2016,6,-2.6151980598221547
2014-05-07,52.47,53.52,52.36,53.5,3366799,AEP,2014,5,1.229895931882674
2017-11-10,90.72,90.72,89.95,90.21,889566,VRSK,2017,11,-0.6716582250605563
2014-01-03,22.09,22.12,21.83,21.98,36330724,CSCO,2014,1,-0.09090909090908594
2014-01-08,14.54,14.61,14.21,14.3,6992503,AES,2014,1,-1.9876627827278948
2016-03-11,59.13,60.44,59.13,60.08,8834380,NKE,2016,3,2.0380434782608647
2018-01-26,275.16,287.32,273.27,283.97,1132636,ALGN,2018,1,3.805380903640887
2014-05-15,29.48,30.07,28.87,29.05,3956739,CA,2014,5,-3.3920851346857295
2014-06-30,142.36,143.75,141.9,143.46,1434467,XEC,2014,6,0.4621848739495782
2017-04-11,42.75,43.07,42.62,43.0,1652480,SEE,2017,4,0.2564700396362696
2013-12-05,127.09,127.54,126.71,127.13,507228,ROP,2013,12,-0.3449086775887733
2013-02-28,152.18,152.74,150.99,151.21,1259453,PSA,2013,2,-0.4149104320337216
2017-10-31,87.54,87.99,87.43,87.76,641256,AWK,2017,10,0.0
2016-04-15,52.87,53.18,52.54,52.7,2571657,NLSN,2016,4,-0.4909365558912304
2016-09-02,59.75,60.17,59.49,60.02,1948743,DFS,2016,9,0.7046979865771741
2015-06-01,77.07,77.655,76.32,76.7,6532401,MDT,2015,6,0.4979035639413043
2017-02-07,73.18,74.216,73.18,73.72,675394,EXR,2017,2,0.6966261439694144
2015-09-22,41.44,41.6,41.1,41.32,2272654,XRX,2015,9,-1.7126546146527089
2014-10-03,83.73,84.49,82.44,82.9,2915012,SPGI,2014,10,-0.4204204204204087
2015-06-23,32.78,33.01,32.49,32.55,5070518,CTL,2015,6,-0.3062787136294043
2014-05-07,58.77,59.3,56.26,57.39,78587247,FB,2014,5,-1.9477191184008258
2013-07-23,97.5,98.63,97.32,98.21,1246320,LH,2013,7,0.8005747716308909
2014-12-09,20.94,21.7,20.93,21.48,16771437,GLW,2014,12,2.237029985721084
2016-10-05,88.48,89.0,88.21,88.85,64580261,PG,2016,10,0.5659309564233217
2017-07-31,84.9,85.33,84.66,85.12,2441984,DUK,2017,7,0.2473206924979543
2015-06-22,91.15,92.0,90.11,90.74,1704690,TRIP,2015,6,-0.21992522542335635
2014-11-25,59.2,59.2,56.71,56.94,4247922,GRMN,2014,11,-4.511152104645322
2015-09-04,197.87,200.39,196.66,197.5,508731,MHK,2015,9,-1.4372691885417677
2016-07-05,128.4,128.8,125.76,126.75,1168707,CI,2016,7,-1.1850003898027706
2013-09-27,13.99,14.03,13.88,13.9,78954848,BAC,2013,9,-1.278409090909094
2017-07-12,89.47,90.24,89.375,89.61,1461248,DRI,2017,7,0.3471444568869053
2013-03-14,2.62,2.63,2.58,2.63,9201910,AMD,2013,3,1.1538461538461497
2013-11-05,102.28,102.57,100.06,100.18,444109,MLM,2013,11,-2.5012165450121637
2013-05-30,166.3365,169.1298,165.3365,168.2265,810021,ISRG,2013,5,1.23972040092315
2014-09-25,24.56,24.62,24.14,24.21,1658453,HOLX,2014,9,-1.8248175182481674
2016-12-23,102.2,102.52,101.35,101.67,475593,SRE,2016,12,-0.4504063448545925
2015-02-24,71.32,71.96,71.02,71.93,2360746,DG,2015,2,0.6436266965160309
2016-08-10,9.72,9.73,9.52,9.54,5160386,HBAN,2016,8,-1.6494845360824795
2013-03-11,33.06,33.73,33.05,33.59,5108943,SYY,2013,3,0.9618274721971742
2016-11-14,110.33,110.79,106.48,106.68,3684229,SYK,2016,11,-3.334541500543664
2013-05-10,46.545,47.405,46.535,47.2,820272,HSIC,2013,5,1.1898381391360235
2017-08-03,26.68,26.69,26.19,26.5,3082153,NI,2017,8,-0.637420322459703
2015-02-06,23.54,23.74,23.3,23.39,1219048,LUK,2015,2,-0.08543357539513297
2016-07-22,77.61,78.6021,77.49,78.51,1580478,D,2016,7,1.172680412371152
2015-06-04,117.92,117.97,116.03,116.65,3300333,UNH,2015,6,-1.4364174059991464
2017-12-15,12.64,13.27,12.56,13.2,12664132,NAVI,2017,12,4.5958795562599075
2015-05-15,98.71,99.0,97.3099,97.56,2019718,SWKS,2015,5,-0.9341998375304694
2016-08-11,162.2,164.25,161.93,163.86,1827689,GS,2016,8,1.0296565756211962
2016-02-11,42.62,43.52,42.14,42.7,10019508,DAL,2016,2,-1.3173099144904055
2014-06-20,35.28,35.35,34.48,34.54,21913077,FOXA,2014,6,-2.3466214305908895
2016-12-29,45.65,45.97,45.25,45.51,1104773,SEE,2016,12,-0.43754101947057755
2017-09-07,65.72,65.72,63.93,64.3,2802189,ICE,2017,9,-2.235061578227149
2014-01-16,49.56,50.6,49.56,49.76,3061595,XRX,2014,1,0.40355125100886013
2013-08-08,30.26,30.53,30.0,30.07,1596052,SEE,2013,8,0.0665557404326167
2017-09-14,70.0,72.27,69.77,71.94,3677883,CERN,2017,9,2.028081123244929
2014-06-13,552.26,552.3,545.56,551.76,1217176,GOOG,2014,6,0.07436292736011652
2014-01-21,48.64,48.775,48.05,48.32,2582643,MOS,2014,1,-0.45323444581788497
2014-01-15,56.56,57.77,55.85,56.79,2671300,LB,2014,1,0.6557958170861244
2013-10-24,45.13,45.16,44.67,44.83,2846588,XLNX,2013,10,-0.11140819964350346
2015-03-18,126.56,127.79,125.99,127.07,1077544,MTB,2015,3,0.2920284135753626
2017-06-30,73.02,73.35,72.755,72.93,779767,SNPS,2017,6,-0.05481704810195165
2013-03-20,59.05,59.79,58.97,59.71,4131909,AON,2013,3,1.1862396204033177
2016-11-10,17.35,17.758,16.75,16.99,30282198,MU,2016,11,-1.2209302325581484
2014-05-02,199.88,201.57,199.83,200.86,597628,SHW,2014,5,0.4852668967932461
2017-09-25,19.36,19.75,19.29,19.69,9568877,KMI,2017,9,2.179553710430726
2016-11-02,26.21,26.23,25.7,25.75,6825856,FOX,2016,11,-1.6800305460099363
2014-12-04,129.65,129.86,128.8,129.51,732919,PX,2014,12,-0.14649190439475213
2013-04-12,67.0229,67.07,66.09,66.68,10766083,QCOM,2013,4,-0.5221542592868778
2015-08-12,44.0,44.28,43.36,44.04,2411912,XRX,2015,8,-0.6317689530685899
2016-12-05,77.14,77.98,76.89,77.33,4188937,TJX,2016,12,0.298313878080414
2017-03-01,72.25,72.93,71.79,72.33,2891145,LNC,2017,3,3.092930444697828
2013-07-02,19.0301,19.32,18.87,19.0,7758003,PHM,2013,7,-0.5756148613291434
2014-09-30,87.61,87.9199,86.2,87.0,1488581,AVGO,2014,9,-0.126277120881646
2013-10-03,86.72,87.32,85.68,86.35,1036863,EQT,2013,10,-0.7357167490516181
2015-06-10,51.88,53.02,51.88,52.64,1792757,PFG,2015,6,1.8772982388232995
2015-03-23,23.03,23.44,23.02,23.25,1333094,LUK,2015,3,0.8676789587852562
2017-03-21,35.03,35.26,33.565,33.64,4486384,ETFC,2017,3,-3.637926095674582
2017-02-13,81.57,82.12,81.08,81.63,1384456,TIF,2017,2,0.3195280816025381
2017-01-30,31.53,31.53,30.98,31.07,824375,CSRA,2017,1,-1.863550221099175
2014-10-31,139.71,139.9,138.53,139.43,407541,AYI,2014,10,0.5190685603056799
2014-09-18,195.61,197.0,195.01,196.0,562613,MCK,2014,9,0.23524598547612907
2013-08-06,52.71,53.79,52.44,53.7,10340994,EBAY,2013,8,1.8782014797951163
2014-09-16,34.88,35.08,34.59,34.75,12144734,FOXA,2014,9,-0.45832139788025694
2017-07-07,181.12,181.12,178.23,179.26,600852,GWW,2017,7,-1.0269434628975338
2017-09-26,359.51,361.01,356.58,359.04,2090921,CHTR,2017,9,0.4083002405056213
2017-03-24,229.57,230.06,225.53,227.02,732175,MHK,2017,3,-1.0288604063126594
2016-06-29,39.76,40.7,39.49,40.55,23009741,ORCL,2016,6,3.6289292103245385
2016-07-26,63.47,64.655,63.34,64.57,2305945,ETN,2016,7,1.7331022530329143
2014-08-28,108.8,109.23,108.28,109.11,2128312,UTX,2014,8,0.018333486112376285
2015-04-15,110.94,111.91,110.38,110.48,522205,CLX,2015,4,-0.4595008559329594
2017-08-02,68.88,69.37,68.42,69.13,7973424,SLB,2017,8,0.0
2016-04-25,125.29,127.45,122.29,125.1,2501988,LH,2016,4,2.734663710273466
2017-01-12,77.81,77.81,76.92,77.53,1710211,DLTR,2017,1,-0.35985091890502474
2015-11-04,96.8,97.84,96.67,97.5,1438941,SYK,2015,11,0.723140495867769
2016-09-19,106.79,108.08,106.49,107.94,1603568,SRE,2016,9,1.2380416432189012
2016-06-01,116.01,117.68,115.73,117.02,847328,VMC,2016,6,0.23126338329764184
2016-05-25,63.29,63.78,63.0,63.43,2407886,AEP,2016,5,-0.31431714600032024
2014-12-09,606.0,611.53,593.06,605.81,661109,AZO,2014,12,4.261251183202819
2014-10-30,20.95,21.23,20.8,20.97,10288318,JNPR,2014,10,-2.1465235650956593
2017-11-21,91.81,93.52,91.8,92.46,1328456,DGX,2017,11,0.054106698409261966
2016-06-13,93.8,94.79,93.6201,94.11,407409,CTAS,2016,6,-0.43377063055437537
2017-02-24,54.43,54.54,52.8046,53.16,2479848,OKE,2017,2,-2.708638360175708
2015-09-18,61.27,62.3315,61.2,61.77,1301234,PNW,2015,9,0.0
2015-12-22,17.05,17.11,16.85,17.08,56173502,BAC,2015,12,0.6482027106658794
2017-01-17,104.7,104.82,102.85,103.37,3401751,UNP,2017,1,-1.7862232779097376
2014-05-21,73.51,73.66,73.0,73.65,1607562,ETR,2014,5,0.21771669614916167
2013-08-23,49.22,49.55,48.825,49.52,392322,REG,2013,8,0.9376273950264968
